ScanNumber	ScanTypeName	ScanType
1125	CID-MSn	2
1126	HMS	1
1127	CID-MSn	2
1128	CID-MSn	2
1129	CID-MSn	2
1130	CID-MSn	2
1131	CID-MSn	2
1132	CID-MSn	2
1133	CID-MSn	2
1134	CID-MSn	2
1135	CID-MSn	2
1136	CID-MSn	2
1137	HMS	1
1138	CID-MSn	2
1139	CID-MSn	2
1140	CID-MSn	2
1141	CID-MSn	2
1142	CID-MSn	2
1143	CID-MSn	2
1144	CID-MSn	2
1145	CID-MSn	2
1146	CID-MSn	2
1147	CID-MSn	2
1148	HMS	1
1149	CID-MSn	2
1150	CID-MSn	2
1151	CID-MSn	2
1152	CID-MSn	2
1153	CID-MSn	2
1154	CID-MSn	2
1155	CID-MSn	2
1156	CID-MSn	2
1157	CID-MSn	2
1158	CID-MSn	2
1159	HMS	1
1160	CID-MSn	2
1161	CID-MSn	2
1162	CID-MSn	2
1163	CID-MSn	2
1164	CID-MSn	2
1165	CID-MSn	2
1166	CID-MSn	2
1167	CID-MSn	2
1168	CID-MSn	2
1169	CID-MSn	2
1170	HMS	1
1171	CID-MSn	2
1172	CID-MSn	2
1173	CID-MSn	2
1174	CID-MSn	2
1175	CID-MSn	2
1176	CID-MSn	2
1177	CID-MSn	2
1178	CID-MSn	2
1179	CID-MSn	2
1180	CID-MSn	2
1181	HMS	1
1182	CID-MSn	2
1183	CID-MSn	2
1184	CID-MSn	2
1185	CID-MSn	2
1186	CID-MSn	2
1187	CID-MSn	2
1188	CID-MSn	2
1189	CID-MSn	2
1190	CID-MSn	2
1191	CID-MSn	2
1192	HMS	1
1193	CID-MSn	2
1194	CID-MSn	2
1195	CID-MSn	2
1196	CID-MSn	2
1197	CID-MSn	2
1198	CID-MSn	2
1199	CID-MSn	2
1200	CID-MSn	2
1201	CID-MSn	2
1202	CID-MSn	2
1203	HMS	1
1204	CID-MSn	2
1205	CID-MSn	2
1206	CID-MSn	2
1207	CID-MSn	2
1208	CID-MSn	2
1209	CID-MSn	2
1210	CID-MSn	2
1211	CID-MSn	2
1212	CID-MSn	2
1213	CID-MSn	2
1214	HMS	1
1215	CID-MSn	2
1216	CID-MSn	2
1217	CID-MSn	2
1218	CID-MSn	2
1219	CID-MSn	2
1220	CID-MSn	2
1221	CID-MSn	2
1222	CID-MSn	2
1223	CID-MSn	2
1224	CID-MSn	2
1225	HMS	1
1226	CID-MSn	2
1227	CID-MSn	2
1228	CID-MSn	2
1229	CID-MSn	2
1230	CID-MSn	2
1231	CID-MSn	2
1232	CID-MSn	2
1233	CID-MSn	2
1234	CID-MSn	2
1235	CID-MSn	2
1236	HMS	1
1237	CID-MSn	2
1238	CID-MSn	2
1239	CID-MSn	2
1240	CID-MSn	2
1241	CID-MSn	2
1242	CID-MSn	2
1243	CID-MSn	2
1244	CID-MSn	2
1245	CID-MSn	2
1246	CID-MSn	2
1247	HMS	1
1248	CID-MSn	2
1249	CID-MSn	2
1250	CID-MSn	2
1251	CID-MSn	2
1252	CID-MSn	2
1253	CID-MSn	2
1254	CID-MSn	2
1255	CID-MSn	2
1256	CID-MSn	2
1257	CID-MSn	2
1258	HMS	1
1259	CID-MSn	2
1260	CID-MSn	2
1261	CID-MSn	2
1262	CID-MSn	2
1263	CID-MSn	2
1264	CID-MSn	2
1265	CID-MSn	2
1266	CID-MSn	2
1267	CID-MSn	2
1268	CID-MSn	2
1269	HMS	1
