ScanNumber	ScanTime	ScanType
1066	0.2784521	2
1067	0.2787007	2
1068	0.2789268	2
1069	0.2791515	2
1070	0.2793548	2
1071	0.2795548	2
1072	0.2797548	2
1073	0.2799548	2
1074	0.2801547	2
1075	0.2803547	2
1076	0.2805795	2
1077	0.2807799	2
1078	0.2809872	2
1079	0.2811868	2
1080	0.2814961	1
1081	0.2834501	2
1082	0.2836784	2
1083	0.2838781	2
1084	0.2840781	2
1085	0.2843029	2
1086	0.2845104	2
1087	0.2847105	2
1088	0.2849105	2
1089	0.2851104	2
1090	0.2853105	2
1091	0.2855364	2
1092	0.2857837	2
1093	0.2860097	2
1094	0.2862348	2
1095	0.2864597	2
1096	0.2866635	2
1097	0.2868632	2
1098	0.2870883	2
1099	0.2873129	2
1100	0.2875377	2
1101	0.2877376	2
1102	0.2879624	2
1103	0.2881623	2
1104	0.2883872	2
1105	0.2885871	2
1106	0.2888344	2
1107	0.2890595	2
1108	0.2892597	2
1109	0.2894615	2
1110	0.2896612	2
1111	0.2898612	2
1112	0.2900621	2
1113	0.2903096	2
1114	0.2905345	2
1115	0.2907344	2
1116	0.2909593	2
1117	0.2911593	2
1118	0.2913591	2
1119	0.291584	2
1120	0.2917839	2
1121	0.2920947	1
1122	0.2940488	2
1123	0.2942735	2
1124	0.2944993	2
1125	0.2947243	2
1126	0.2949717	2
1127	0.2951967	2
1128	0.2954213	2
1129	0.2956483	2
1130	0.2958731	2
1131	0.2960729	2
1132	0.2963033	2
1133	0.2965031	2
1134	0.2967029	2
1135	0.2969025	2
1136	0.2971365	2
1137	0.2973613	2
1138	0.2975611	2
1139	0.297786	2
1140	0.2980119	2
1141	0.29824	2
1142	0.2984649	2
1143	0.2986745	2
1144	0.2989004	2
1145	0.2991252	2
1146	0.29935	2
1147	0.2995499	2
1148	0.2997745	2
1149	0.3000181	2
1150	0.3002432	2
1151	0.3004684	2
1152	0.3006699	2
1153	0.3008696	2
1154	0.3010693	2
1155	0.3012692	2
1156	0.3014697	2
1157	0.3016699	2
1158	0.3019172	2
1159	0.3021169	2
1160	0.3023171	2
1161	0.3025175	2
1162	0.3027173	2
1163	0.3030263	1
1164	0.3049807	2
1165	0.3051803	2
1166	0.3053881	2
1167	0.3056129	2
1168	0.3058128	2
1169	0.30602	2
1170	0.3062197	2
1171	0.3064197	2
1172	0.3066197	2
1173	0.3068445	2
1174	0.3070693	2
1175	0.3072941	2
1176	0.3075415	2
1177	0.3077665	2
1178	0.3079663	2
1179	0.3081663	2
1180	0.3083912	2
1181	0.3086159	2
1182	0.3088407	2
1183	0.3090407	2
1184	0.3092655	2
1185	0.3094653	2
1186	0.3096901	2
1187	0.3098917	2
1188	0.3101391	2
1189	0.3103641	2
1190	0.3105644	2
1191	0.3107644	2
1192	0.3109643	2
1193	0.3111641	2
1194	0.3113641	2
1195	0.3115891	2
1196	0.3118137	2
1197	0.3120136	2
1198	0.3122385	2
1199	0.3124384	2
1200	0.3126383	2
1201	0.312864	2
1202	0.3130652	2
1203	0.3132651	2
1204	0.3135776	1
1205	0.3155328	2
1206	0.3157801	2
1207	0.3160048	2
1208	0.3162296	2
1209	0.3164543	2
1210	0.3166791	2
1211	0.3169039	2
1212	0.3171288	2
1213	0.3173285	2
1214	0.3175759	2
1215	0.317776	2
1216	0.3179761	2
1217	0.3181759	2
1218	0.3184232	2
1219	0.3186477	2
1220	0.3188477	2
1221	0.3190724	2
1222	0.3192979	2
1223	0.3195227	2
1224	0.3197476	2
1225	0.3199473	2
1226	0.3201723	2
1227	0.3203981	2
1228	0.3206229	2
1229	0.3208225	2
1230	0.3210475	2
1231	0.3212912	2
1232	0.3215159	2
1233	0.3217407	2
1234	0.3219404	2
1235	0.3221413	2
1236	0.3223439	2
1237	0.3225439	2
1238	0.3227436	2
1239	0.3229436	2
1240	0.3231704	2
1241	0.3233705	2
1242	0.3235708	2
1243	0.3237743	2
1244	0.3239739	2
1245	0.3242833	1
1246	0.3262387	2
1247	0.3264388	2
1248	0.3266387	2
1249	0.3268633	2
1250	0.3270631	2
1251	0.3272632	2
1252	0.3274628	2
1253	0.3276701	2
1254	0.3278703	2
1255	0.3280949	2
1256	0.3283199	2
1257	0.3285456	2
